Model,Index,Core,Name,Type,Kernel,Stride,OutHW,OutC,InC,CurWeight,MaxWeight,Margin,WeightOK,MinT_Q,Tiles_Q,TileShare,InTile_HW,InTile_B,OutTile_B,T_AdaptFull,Tiles_AdaptFull
YOLOv10s,67,9,model.23.one2one_cv2.1.1.conv,Conv,3x3,1,40x40,64,64,36864,255232,218368,True,6,49,52,8x8,4096,2304,40,1
YOLOv10s,68,9,model.23.one2one_cv2.1.2,1x1,1x1,1,40x40,64,64,4096,257024,252928,True,6,49,52,6x6,2304,2304,40,1
YOLOv10s,69,9,model.23.one2one_cv2.2.0.conv,Conv,3x3,1,20x20,64,512,294912,217024,-77888,False,7,9,13,9x9,41472,3136,1,400
YOLOv10s,70,9,model.23.one2one_cv2.2.1.conv,Conv,3x3,1,20x20,64,64,36864,253312,216448,True,7,9,13,9x9,5184,3136,20,1
YOLOv10s,71,9,model.23.one2one_cv2.2.2,1x1,1x1,1,20x20,64,64,4096,255360,251264,True,7,9,13,7x7,3136,3136,20,1
YOLOv10s,72,9,model.23.one2one_cv3.0.0.0.conv,DW,3x3,1,80x80,128,128,1152,248832,247680,True,6,196,211,8x8,8192,4608,30,9
YOLOv10s,73,10,model.23.one2one_cv3.0.0.1.conv,1x1,1x1,1,80x80,128,128,16384,240896,224512,True,9,81,95,9x9,10368,10368,30,9
YOLOv10s,74,10,model.23.one2one_cv3.0.1.0.conv,DW,3x3,1,80x80,128,128,1152,235776,234624,True,9,81,95,11x11,15488,10368,30,9
YOLOv10s,75,10,model.23.one2one_cv3.0.1.1.conv,1x1,1x1,1,80x80,128,128,16384,240896,224512,True,9,81,95,9x9,10368,10368,30,9
YOLOv10s,76,10,model.23.one2one_cv3.0.2,1x1,1x1,1,80x80,80,128,10240,244784,234544,True,9,81,95,9x9,10368,6480,34,9
YOLOv10s,77,10,model.23.one2one_cv3.1.0.0.conv,DW,3x3,1,40x40,256,256,2304,199168,196864,True,10,16,23,12x12,36864,25600,21,4
YOLOv10s,78,10,model.23.one2one_cv3.1.0.1.conv,1x1,1x1,1,40x40,128,256,32768,223232,190464,True,10,16,23,10x10,25600,12800,24,4
YOLOv10s,79,10,model.23.one2one_cv3.1.1.0.conv,DW,3x3,1,40x40,128,128,1152,230400,229248,True,10,16,23,12x12,18432,12800,30,4
YOLOv10s,80,11,model.23.one2one_cv3.1.1.1.conv,1x1,1x1,1,40x40,128,128,16384,257536,241152,True,4,100,129,4x4,2048,2048,30,4
YOLOv10s,81,11,model.23.one2one_cv3.1.2,1x1,1x1,1,40x40,80,128,10240,258304,248064,True,4,100,129,4x4,2048,1280,34,4
YOLOv10s,82,11,model.23.one2one_cv3.2.0.0.conv,DW,3x3,1,20x20,512,512,4608,235008,230400,True,4,25,32,6x6,18432,8192,14,4
YOLOv10s,83,11,model.23.one2one_cv3.2.0.1.conv,1x1,1x1,1,20x20,128,512,65536,251392,185856,True,4,25,32,4x4,8192,2048,17,4
YOLOv10s,84,11,model.23.one2one_cv3.2.1.0.conv,DW,3x3,1,20x20,128,128,1152,254976,253824,True,4,25,32,6x6,4608,2048,20,1
YOLOv10s,85,11,model.23.one2one_cv3.2.1.1.conv,1x1,1x1,1,20x20,128,128,16384,257536,241152,True,4,25,32,4x4,2048,2048,20,1
YOLOv10s,86,11,model.23.one2one_cv3.2.2,1x1,1x1,1,20x20,80,128,10240,258304,248064,True,4,25,32,4x4,2048,1280,20,1
